target_id	spi_AIV_tpm	spi_BM_tpm	spi_LBH_tpm	spi_LG_tpm	spi_RBH_tpm	spi_RG_tpm	spi_ROL_tpm	spi_RWB_tpm	spi_S_tpm	sp_ORM_tpm	sp_TMS_tpm
transcript-2510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-2509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-2508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-2507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-2505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-2504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-1229	0.0	0.0	0.0	0.0	0.0	1.05605	0.0	0.0	0.0	0.0	2.35235
mrna-1228	0.0	0.8686510000000001	0.0	0.0	0.0	0.978825	0.0	1.28034	0.0	0.0647848	0.0
mrna-1227	0.607244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-2503	3.00624	3.6597	0.0	0.0	0.0	3.20725	24.7672	2.40919	4.623	1.20458	4.11184
mrna-8252	0.316781	5.33553	7.939310000000001	5.74024	21.1653	0.613697	0.0	0.8687799999999999	5.74636	0.148084	0.0
transcript-20148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-8253	1.63529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7566930000000001	1.50989
transcript-20149	0.0	0.0	0.0	0.0	0.0	0.0227029	0.0	0.0	0.0	0.0	0.0280296
mrna-8254	2.06546	1.4462899999999999	2.8723	4.83138	1.9297799999999998	2.8515099999999998	4.48782	7.05585	1.7725	3.26132	2.68637
transcript-20150	0.0	0.0	0.0	0.0	0.0	1.58647	0.0	0.0	0.0	0.0	0.0
transcript-20151	0.0	0.0	0.0	0.0	0.0	1.4454799999999999	17.2018	0.0	0.0	0.0	1.60314
transcript-20152	3.64074	1.5639	2.76744	1.19664	2.8133	1.53542	15.1419	20.4373	0.234485	1.5152299999999999	2.12038
mrna-8255	43.6879	27.0951	30.7969	66.2498	35.4821	45.236000000000004	117.62799999999999	98.5841	35.3222	53.4669	33.1998
mrna-8256	17.784000000000002	33.6839	67.1501	43.7095	70.6578	35.7941	90.8393	92.7571	23.7828	29.7677	16.79
mrna-8257	27.3111	40.7757	53.1408	41.3306	45.3654	43.512	240.62900000000002	267.966	39.5173	41.2596	19.2386
mrna-8258	3.36283	1.02045	2.7660299999999998	5.54319	2.2295	5.51245	10.8736	9.57065	1.63826	3.86352	3.6632300000000004
mrna-8259	0.0	0.0	0.0	0.0	0.0	0.0	2.56802	33.766	0.0	0.0	0.0
transcript-20153	0.7297060000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20154	0.0	0.0341163	0.813642	0.08586360000000001	0.0920943	0.04099969999999999	0.0	0.0	0.0	0.0	0.274584
transcript-20155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-8260	37.3293	19.1734	32.157	32.9443	28.5393	31.4589	38.0424	48.144	44.4319	21.0267	22.0878
mrna-8261	7.9269300000000005	1.32277	7.118810000000001	9.35727	9.48183	5.1658599999999995	14.8821	30.4626	2.1177200000000003	4.36994	6.40333
transcript-20157	0.00773285	0.0409194	0.0	0.0	0.0	0.0832331	0.0	0.0	0.0716202	0.0516803	0.059838999999999996
transcript-20158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20160	10.9418	0.816129	0.0	4.35916	1.4762899999999999	1.2646899999999999	3.9597599999999997	1.20026	0.0	5.32961	7.753830000000001
mrna-8262	2.64926	1.35407	6.6943	0.901091	1.08941	1.1131799999999998	3.21787	2.2994	3.5552699999999997	3.8349699999999998	3.25454
transcript-20161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-8263	93.6436	56.7534	0.663062	2.16358	3.61801	2.10703	9.75234	88.454	0.0	34.0659	34.4612
mrna-8264	2.7692799999999997	1.19125	4.42076	2.3180099999999997	5.207380000000001	2.21568	2.08512	0.27916599999999997	1.2156799999999999	2.78953	2.35889
mrna-8265	1.99945	0.807322	1.37279	1.70607	2.9819299999999997	1.86665	2.47408	0.0	2.12066	6.26842	2.9256900000000003
mrna-8266	7.6352	4.7222800000000005	13.0506	7.7942	3.11908	10.8014	6.61141	2.2305	1.07186	11.9847	6.885089999999999
transcript-20166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20169	0.0255798	0.097393	0.0	0.0	0.0	0.0	0.0	0.0	1.0276399999999999	0.14615	0.141399
mrna-8267	14.7802	3.57084	0.455517	7.44756	0.524365	6.14954	0.0	0.0	11.1176	7.2153	24.5394
transcript-20170	238.178	62.0374	0.0	78.9494	18.4232	104.846	0.0	2.35893	217.924	200.981	384.00800000000004
transcript-20171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20173	0.0657212	0.0	0.0	0.0	0.0	0.0	0.0	0.23948699999999998	0.0	0.18785	0.0
mrna-8268	15.7422	22.933000000000003	10.5755	3.7397699999999996	11.949000000000002	5.9512599999999996	2.18152	0.518753	19.4475	5.92745	11.6742
mrna-8269	225.34900000000002	1074.99	641.785	447.665	622.985	382.647	639.395	669.803	204.38099999999997	251.128	135.388
transcript-20174	14.5711	11.1786	13.7909	13.1991	6.2561599999999995	10.7803	48.3545	34.1066	12.812999999999999	7.44388	10.5934
mrna-8270	5.88725	3.96549	6.03799	10.1168	5.86603	12.8591	0.554806	4.77126	6.06997	5.07335	3.85895
mrna-8271	2.3045400000000003	2.44818	8.7272	4.82331	4.27421	10.4593	2.29394	0.595885	13.959000000000001	1.24451	2.85771
mrna-8272	1.58483	0.409066	1.51979	3.26042	0.8588680000000001	2.92949	0.877065	0.0	5.453930000000001	0.0	0.43809799999999993
transcript-20175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20178	0.0	0.0	11.6636	0.0	0.0	6.19906	0.0	0.0	0.0	0.0	4.88249
