transcript_id	protein_name
mrna-5527	Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like)
mrna-5971	Voltage-gated purine nucleotide uniporter SLC17A9 (Solute carrier family 17 member 9) (Vesicular nucleotide transporter) (VNUT)
mrna-5970	Annexin A13 (Annexin XIII) (Annexin-13)
mrna-5961	Putative tyrosinase-like protein tyr-3
mrna-2532	Multifunctional protein CAD (Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase) [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Glutamine amidotransferase (GATase) (GLNase) (EC 3.5.1.2); Ammonium-dependent carbamoyl phosphate synthase (CPS) (CPSase) (EC 6.3.4.16); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]
mrna-4108	Calcium homeostasis endoplasmic reticulum protein (SR-related CTD-associated factor 6)
mrna-11488	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Rat epididymis-specific protein 6) (Re6)
mrna-986	Fibrinogen-like protein 1
mrna-1027	Contactin
mrna-12098	Sonic hedgehog protein (SHH) (EC 3.1.-.-) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) (VHH-1) (X-SHH) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)]
mrna-2893	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1)
mrna-5363	Ras-like protein family member 11A (EC 3.6.5.2)
mrna-9546	Sodium-dependent phosphate transport protein 2B (Sodium-phosphate transport protein 2B) (Na(+)-dependent phosphate cotransporter 2B) (Sodium/phosphate cotransporter 2B) (Na(+)/Pi cotransporter 2B) (NaPi-2b) (Solute carrier family 34 member 2) (rNaPi IIb)
