PAC4GC_38658443	EB27023.1	mrna-11262	g6656.t1	mrna-7713	mrna-754
PAC4GC_38660191	EB28260.1	mrna-11263	g6647.t1	mrna-7711	mrna-752
PAC4GC_38660436	EB27878.1	mrna-11264	g6646.t1	mrna-7710	mrna-751
PAC4GC_38660931	EB28161.1	mrna-1912	g3805.t1	mrna-2844	mrna-730
PAC4GC_38659896	EB27004.1	mrna-1911	g3954.t1	mrna-12626	mrna-729
PAC4GC_38659067	EB27529.1	mrna-1970	g4056.t1	mrna-13641	mrna-582
PAC4GC_38661527	EB28115.1	mrna-1748	g4065.t1	mrna-3610	mrna-585
PAC4GC_38659506	EB27982.1	mrna-1749	g4067.t1	mrna-3609	mrna-586
PAC4GC_38659140	EB28188.1	mrna-1757	g4175.t1	mrna-3601	mrna-588
PAC4GC_38661120	EB27380.1	mrna-1759	g4203.t1	mrna-3600	mrna-590
PAC4GC_38660755	EB28020.1	transcript-778	g4210.t2	transcript-9092	mrna-591
PAC4GC_38657975	EB27914.1	mrna-1760	g4222.t1	mrna-3599	mrna-592
PAC4GC_38659120	EB27716.1	mrna-1761	g4225.t1	mrna-3036	mrna-737
PAC4GC_38659077	EB26951.1	mrna-1762	g4226.t1	mrna-3035	mrna-869
PAC4GC_38657950	EB27965.1	mrna-1764	g4230.t1	mrna-3033	mrna-931
PAC4GC_38660944	EB27100.1	mrna-1765	g4231.t1	mrna-3032	mrna-909
PAC4GC_38658652	EB27317.1	mrna-1766	g4232.t1	mrna-3031	mrna-910
PAC4GC_38658202	EB27135.1	mrna-1767	g4233.t1	mrna-3030	mrna-911
PAC4GC_38658812	EB27694.1	mrna-1769	g4295.t1	mrna-3028	mrna-913
PAC4GC_38658494	EB27007.1	mrna-1770	g4280.t1	mrna-3027	mrna-915
PAC4GC_38658106	EB28211.1	mrna-1771	g4242.t1	mrna-3025	mrna-916
PAC4GC_38660796	EB27322.1	mrna-1772	g4302.t1	mrna-9311	mrna-917
PAC4GC_38657905	EB27148.1	mrna-11241	g6371.t1	mrna-14742	mrna-844
PAC4GC_38661400	EB27197.1	mrna-1853	g5683.t1	mrna-7760	mrna-793
PAC4GC_38658881	EB27516.1	mrna-1854	g5667.t1	mrna-7758	mrna-794
PAC4GC_38660882	EB27384.1	mrna-1778	g3641.t1	mrna-689	mrna-541
PAC4GC_38659049	EB26994.1	mrna-11168	g4648.t1	mrna-966	mrna-528
PAC4GC_38659018	EB27505.1	mrna-11167	g4651.t1	mrna-965	mrna-667
PAC4GC_38661609	EB28064.3	mrna-11165	g4652.t1	mrna-964	mrna-668
PAC4GC_38658616	EB27482.3	mrna-11227	g4663.t1	mrna-959	mrna-673
PAC4GC_38660708	EB28187.1	mrna-11228	g4664.t1	mrna-958	mrna-674
PAC4GC_38661034	EB27419.1	mrna-11229	g4665.t1	mrna-957	mrna-675
PAC4GC_38660553	EB27814.1	mrna-11230	g4670.t1	mrna-955	mrna-677
PAC4GC_38657986	EB27791.1	mrna-11233	g4681.t1	mrna-952	mrna-679
PAC4GC_38659231	EB27536.1	mrna-1884	g5130.t1	mrna-3617	mrna-557
PAC4GC_38661779	EB27308.1	mrna-1839	g6304.t1	mrna-16604	mrna-868
PAC4GC_38659561	EB27997.1	mrna-11190	g4697.t1	mrna-946	mrna-684
PAC4GC_38661178	EB27654.1	mrna-11187	g4710.t1	mrna-945	mrna-685
PAC4GC_38661278	EB27189.1	mrna-11186	g4711.t1	mrna-944	mrna-686
PAC4GC_38657829	EB27864.1	mrna-1979	g6310.t1	mrna-16601	mrna-865
PAC4GC_38659480	EB27390.1	mrna-1977	g6306.t1	mrna-16602	mrna-866
PAC4GC_38657973	EB28103.1	mrna-1976	g6305.t1	mrna-16603	mrna-867
PAC4GC_38660815	EB28124.1	mrna-11207	g6312.t1	mrna-16599	mrna-863
PAC4GC_38660364	EB27185.1	mrna-11206	g6315.t1	mrna-16597	mrna-862
PAC4GC_38660229	EB27885.1	mrna-11205	g6316.t1	mrna-16596	mrna-861
PAC4GC_38660970	EB28193.1	mrna-11204	g6317.t1	mrna-16595	mrna-860
PAC4GC_38658330	EB27683.1	mrna-11203	g6323.t1	mrna-16593	mrna-859
PAC4GC_38658377	EB28052.1	mrna-11200	g6334.t1	transcript-40849	mrna-856
PAC4GC_38658222	EB28143.1	mrna-11199	g6335.t1	mrna-16589	mrna-854
PAC4GC_38659181	EB27046.1	mrna-11197	g6344.t1	mrna-14750	mrna-852
PAC4GC_38660390	EB27622.1	mrna-11234	g6345.t1	mrna-14749	mrna-849
PAC4GC_38661393	EB27260.1	mrna-11235	g6350.t1	mrna-14748	mrna-850
PAC4GC_38661170	EB25932.1	mrna-11237	g6356.t1	mrna-14746	mrna-848
PAC4GC_38660388	EB27310.1	mrna-11239	g6358.t1	mrna-14744	mrna-846
PAC4GC_38660478	EB27676.1	mrna-11240	g6359.t1	mrna-14743	mrna-845
PAC4GC_38661154	EB27877.1	mrna-1794	g4522.t1	mrna-12071	mrna-604
PAC4GC_38661560	EB27907.1	mrna-1914	g4512.t1	mrna-12067	mrna-593
PAC4GC_38660953	EB27044.1	mrna-11266	g4509.t1	mrna-687	mrna-806
PAC4GC_38658579	EB26932.1	mrna-11267	g4501.t1	mrna-686	mrna-805
PAC4GC_38660836	EB27453.1	mrna-11208	g4500.t1	mrna-685	mrna-804
PAC4GC_38658518	EB27241.4	mrna-11209	g4476.t1	mrna-684	mrna-803
PAC4GC_38660124	EB27481.1	mrna-1852	g3304.t1	mrna-17391	mrna-766
PAC4GC_38659377	EB27193.1	mrna-1843	g3341.t1	mrna-9702	mrna-757
PAC4GC_38659598	EB27387.1	mrna-1842	g3342.t1	mrna-9701	mrna-756
PAC4GC_38659416	EB27412.1	mrna-1717	g5899.t1	mrna-9699	mrna-769
PAC4GC_38661205	EB27934.1	mrna-1720	g5895.t1	mrna-9697	mrna-771
PAC4GC_38661516	EB27090.4	mrna-1724	g5881.t1	mrna-9692	mrna-776
PAC4GC_38659390	EB27333.1	mrna-1725	g5871.t1	mrna-9691	mrna-777
PAC4GC_38659533	EB27058.1	mrna-1726	g5870.t1	mrna-9690	mrna-778
PAC4GC_38661249	EB28004.1	mrna-1727	g5862.t1	mrna-9689	mrna-780
PAC4GC_38661668	EB28051.1	mrna-1728	g5861.t1	mrna-9687	mrna-782
PAC4GC_38659445	EB27963.1	mrna-1729	g5860.t1	mrna-9686	mrna-783
PAC4GC_38658370	EB27323.1	mrna-1730	g5855.t1	mrna-9685	mrna-784
PAC4GC_38660207	EB27976.1	mrna-1779	g3301.t1	mrna-2845	mrna-731
PAC4GC_38661643	EB27817.1	transcript-789	g3740.t1	transcript-28786	mrna-732
PAC4GC_38660376	EB27421.1	mrna-1971	g3687.t1	mrna-12056	mrna-735
PAC4GC_38658887	EB28104.1	mrna-1972	g3686.t1	mrna-12057	mrna-736
PAC4GC_38661472	EB27462.1	mrna-1973	g3667.t1	mrna-12058	mrna-601
PAC4GC_38661810	EB27598.1	mrna-1923	g3662.t1	mrna-12061	mrna-599
PAC4GC_38658249	EB27225.1	mrna-1924	g3653.t1	mrna-12062	mrna-598
PAC4GC_38657948	EB27008.1	mrna-1925	g3649.t1	mrna-12063	mrna-597
